,observations,lag1_autocorr,has_autocorr
Turkmenistan,32,0.2523408701459384,False
Turks and Caicos Islands,52,-0.15734967363423583,False
Tuvalu,52,0.049806681384406935,False
Uganda,52,0.4813083324379681,True
Ukraine,32,0.645030404128619,True
North Macedonia,32,0.5879820485513525,True
United Kingdom,52,-0.008986400153550497,False
United States,52,0.15875100634755016,False
Burkina Faso,52,-0.08946907861361611,False
Uruguay,52,0.46943142257678155,True
Uzbekistan,32,0.7209360329327825,True
Samoa,52,0.19984980473777939,False
Zambia,52,0.15298361441032152,False
